,x,y
"D_4,13_",23573,3787
"D_4,14_",24173,3787
"D_4,15_",24773,3787
"D_4,16_",25373,3787
"D_4,17_",25973,3787
"D_4,18_",26573,3787
"D_4,19_",27173,3787
"D_4,20_",27773,3787
"D_4,21_",28373,3787
"D_4,22_",28973,3787
"D_4,23_",29573,3787
"D_4,24_",30173,3787
"D_4,25_",30773,3787
"D_4,26_",31373,3787
D_5_1_,16373,2887
D_5_2_,16973,2887
D_5_3_,17573,2887
D_5_4_,18173,2887
D_5_5_,18773,2887
D_5_6_,19373,2887
D_5_7_,19973,2887
D_5_8_,20573,2887
D_5_9_,21173,2887
D_5_10_,21773,2887
D_5_11_,22373,2887
D_5_12_,22973,2887
D_5_13_,23573,2887
D_5_14_,24173,2887
D_5_15_,24773,2887
D_5_16_,25373,2887
D_5_17_,25973,2887
D_5_18_,26573,2887
D_5_19_,27173,2887
D_5_20_,27773,2887
D_5_21_,28373,2887
D_5_22_,28973,2887
D_5_23_,29573,2887
D_5_24_,30173,2887
D_5_25_,30773,2887
D_5_26_,31373,2887
"E(1,1)",36634,6591
"E(1,2)",37234,6591
"E(1,3)",37834,6591
"E(1,4)",38434,6591
"E(1,5)",39034,6591
"E(2,1)",36634,5591
"E(2,2)",37234,5591
"E(2,3)",37834,5591
"E(2,4)",38434,5591
"E(2,5)",39034,5591
"E(2,6)",39634,5591
"E(3,1)",36634,4691
"E(3,2)",37234,4691
"E(3,3)",37834,4691
"E(3,4)",38434,4691
"E(3,5)",39034,4691
"E(3,6)",39634,4691
"E(3,7)",40234,4691
"E(4,1)",36634,3791
"E(4,2)",37234,3791
"E(4,3)",37834,3791
"E(4,4)",38434,3791
"E(4,5)",39034,3791
"E(4,6)",39634,3791
"E(4,7)",40234,3791
"E(5,1)",36634,2891
"E(5,2)",37234,2891
"E(5,3)",37834,2891
"E(5,4)",38434,2891
"E(5,5)",39034,2891
"E(5,6)",39634,2891
"E(5,7)",40234,2891
"E(5,8)",40834,2891
"F(1,1)",41398,7069
"F(1,2)",41824,7495
"F(1,3)",42250,7921
"F(1,4)",42676,8347
"F(1,5)",43102,8773
"F(1,6)",43528,9199
"F(2,1)",41684,5934
"F(2,2)",42106,6351
"F(2,3)",42528,6768
"F(2,4)",42950,7185
"F(2,5)",43372,7602
"F(2,6)",43794,8019
"F(2,7)",44216,8436
"F(2,8)",44638,8853
"F(3,1)",42277,5329
"F(3,2)",42698,5751
"F(3,3)",43119,6173
"F(3,4)",43540,6595
"F(3,5)",43961,7017
"F(3,6)",44382,7439
"F(3,7)",44803,7861
"F(3,8)",45224,8283
"F(4,1)",42489,4246
"F(4,2)",42918,4675
"F(4,3)",43347,5104
"F(4,4)",43776,5533
"F(4,5)",44205,5962
"F(4,6)",44634,6391
"F(4,7)",45063,6820
"F(4,8)",45492,7249
"F(4,9)",45921,7678
"F(4,10)",46350,8107
"F(5,1)",43147,3589
"F(5,2)",43571,4013
"F(5,3)",43995,4437
"F(5,4)",44419,4861
"F(5,5)",44843,5285
"F(5,6)",45267,5709
"F(5,7)",45691,6133
"F(5,8)",46115,6557
"F(5,9)",46539,6981
"F(5,10)",46963,7405
"G(1,1)",43875,11448
"G(1,2)",43875,12048
"G(1,3)",43875,12648
"G(1,4)",43875,13248
"G(1,5)",43875,13848
"G(1,6)",43875,14448
"G(1,7)",43875,15048
"G(1,8)",43875,15648
"G(1,9)",43875,16248
"G(1,10)",43875,16848
"G(2,1)",44870,11448
"G(2,2)",44870,12048
"G(2,3)",44870,12648
"G(2,4)",44870,13248
"G(2,5)",44870,13848
"G(2,6)",44870,14448
"G(2,7)",44870,15048
"G(2,8)",44870,15648
"G(2,9)",44870,16248
"G(2,10)",44870,16848
"G(3,1)",45770,10852
"G(3,2)",45770,11452
"G(3,3)",45770,12052
"G(3,4)",45770,12652
"G(3,5)",45770,13252
"G(3,6)",45770,13852
"G(3,7)",45770,14452
"G(3,8)",45770,15052
"G(3,9)",45770,15652
"G(3,10)",45770,16252
"G(3,11)",45770,16852
"G(4,1)",46670,10252
"G(4,2)",46670,10852
"G(4,3)",46670,11452
"G(4,4)",46670,12052
"G(4,5)",46670,12652
"G(4,6)",46670,13252
"G(4,7)",46670,13852
"G(4,8)",46670,14452
"G(4,9)",46670,15052
"G(4,10)",46670,15652
"G(4,11)",46670,16252
"G(4,12)",46670,16852
"G(5,1)",47570,9652
"G(5,2)",47570,10252
"G(5,3)",47570,10852
"G(5,4)",47570,11452
"G(5,5)",47570,12052
"G(5,6)",47570,12652
"G(5,7)",47570,13252
"G(5,8)",47570,13852
"G(5,9)",47570,14452
"G(5,10)",47570,15052
"G(5,11)",47570,15652
"G(5,12)",47570,16252
"G(5,13)",47570,16852
"H(1,1)",43875,20601
"H(1,2)",43875,21201
"H(1,3)",43875,21801
"H(1,4)",43875,22401
"H(1,5)",43875,23001
"H(1,6)",43875,23601
"H(1,7)",43875,24201
