,x,y
D_5_20,27773,2887
D_5_21,28373,2887
D_5_22,28973,2887
D_5_23,29573,2887
D_5_24,30173,2887
D_5_25,30773,2887
D_5_26,31373,2887
E_1_1,36634,6591
E_1_2,37234,6591
E_1_3,37834,6591
E_1_4,38434,6591
E_1_5,39034,6591
E_2_1,36634,5591
E_2_2,37234,5591
E_2_3,37834,5591
E_2_4,38434,5591
E_2_5,39034,5591
E_2_6,39634,5591
E_3_1,36634,4691
E_3_2,37234,4691
E_3_3,37834,4691
E_3_4,38434,4691
E_3_5,39034,4691
E_3_6,39634,4691
E_3_7,40234,4691
E_4_1,36634,3791
E_4_2,37234,3791
E_4_3,37834,3791
E_4_4,38434,3791
E_4_5,39034,3791
E_4_6,39634,3791
E_4_7,40234,3791
E_5_1,36634,2891
E_5_2,37234,2891
E_5_3,37834,2891
E_5_4,38434,2891
E_5_5,39034,2891
E_5_6,39634,2891
E_5_7,40234,2891
E_5_8,40834,2891
F_1_1,41398,7069
F_1_2,41824,7495
F_1_3,42250,7921
F_1_4,42676,8347
F_1_5,43102,8773
F_1_6,43528,9199
F_2_1,41684,5934
F_2_2,42106,6351
F_2_3,42528,6768
F_2_4,42950,7185
F_2_5,43372,7602
F_2_6,43794,8019
F_2_7,44216,8436
F_2_8,44638,8853
F_3_1,42277,5329
F_3_2,42698,5751
F_3_3,43119,6173
F_3_4,43540,6595
F_3_5,43961,7017
F_3_6,44382,7439
F_3_7,44803,7861
F_3_8,45224,8283
F_4_1,42489,4246
F_4_2,42918,4675
F_4_3,43347,5104
F_4_4,43776,5533
F_4_5,44205,5962
F_4_6,44634,6391
F_4_7,45063,6820
F_4_8,45492,7249
F_4_9,45921,7678
F_4_10,46350,8107
F_5_1,43147,3589
F_5_2,43571,4013
F_5_3,43995,4437
F_5_4,44419,4861
F_5_5,44843,5285
F_5_6,45267,5709
F_5_7,45691,6133
F_5_8,46115,6557
F_5_9,46539,6981
F_5_10,46963,7405
G_1_1,43875,11448
G_1_2,43875,12048
G_1_3,43875,12648
G_1_4,43875,13248
G_1_5,43875,13848
G_1_6,43875,14448
G_1_7,43875,15048
G_1_8,43875,15648
G_1_9,43875,16248
G_1_10,43875,16848
G_2_1,44870,11448
G_2_2,44870,12048
G_2_3,44870,12648
G_2_4,44870,13248
G_2_5,44870,13848
G_2_6,44870,14448
G_2_7,44870,15048
G_2_8,44870,15648
G_2_9,44870,16248
G_2_10,44870,16848
G_3_1,45770,10852
G_3_2,45770,11452
G_3_3,45770,12052
G_3_4,45770,12652
G_3_5,45770,13252
G_3_6,45770,13852
G_3_7,45770,14452
G_3_8,45770,15052
G_3_9,45770,15652
G_3_10,45770,16252
G_3_11,45770,16852
G_4_1,46670,10252
G_4_2,46670,10852
G_4_3,46670,11452
G_4_4,46670,12052
